exhibitor_name,domain,contact_number,mail,location,country,booth_no,desc,linkedin_url,city,profile_url,event_source,event_year,profile_checked
CORINNE LAPIERRE,etsy.com,,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/CORINNE-LAPIERRE-2,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
COUDRE PARIS,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/COUDRE-PARIS-4,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
COULEURS COEUR,etsy.com,,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/COULEURS-COEUR-2,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
COUSETTE,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 G048,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/COUSETTE-6,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
CRAFT HEARTS,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 C056,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/CRAFT-HEARTS,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
CREARITY LUXE,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 J025,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/CREARITY-LUXE,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
CREATITO,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 L031,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/CREATITO-3,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
CRICUT,abcsalles.com,,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 E015,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/CRICUT-3,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
CROCHETTO,etsy.com,,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 J033,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/CROCHETTO,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
CURSEURS UNIVERSELS,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 L047,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/CURSEURS-UNIVERSELS,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
DARK SCRAP,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/DARK-SCRAP,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
DECO CUIR,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 J021,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/DECO-CUIR-3,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
Des couches aux cahiers,,,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/Des-couches-aux-cahiers-2,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
DES HISTOIRES A BRODER,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 L032,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/DES-HISTOIRES-A-BRODER-4,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
DETOXIMIX,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 B061,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/DETOXIMIX-4,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
Domum Création,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 K026,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/Domum-Creation,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
DONMERCI,,,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/DONMERCI-2,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
Duceur colorée,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 C026,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/Duceur-coloree,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
E-MARK CREATE,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 D015,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/E-MARK-CREATE,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
EASY CUT,tiktok.com,570245448,,"Paris Expo Porte de Versailles, 1 Place de la Porte de Versailles, 75015 Paris, France",France,Hall 6 G062,,,Paris,https://www.creations-savoir-faire.com/en/list-of-exhibitors/Exposant/EASY-CUT,https://www.creations-savoir-faire.com/en/list-of-exhibitors/exhibitors,2026,yes
