exhibitor_name,domain,contact_number,mail,location,country,booth_no,desc,linkedin_url,city,event_location,profile_url,event_source
PKIMSA CARBOAUTOMATYKA S.A.,carbo.com.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 98,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
POWER ENGINEERING TRANSFORMATORY,petransformatory.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 67,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
PRODUCENT ROZDZIELNIC ELEKTRYCZNYCH EDWARD BIEL,prebiel.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 95,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
Protekt,protekt.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 115,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
PROTEKT SP. Z O.O.,protekt.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 115,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
PROTEKTEL SP. Z O.O.,protektel.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 69,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
PRYSMIAN POLAND SP. Z O.O.,pl.prysmian.com,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 24,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
PSI POLSKA SP. Z O.O.,psi.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 68,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
RABBIT SP. Z O.O.,rabbit.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 38,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
ROSA SP. Z O.O.,rosa.pl,,,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",Poland,Stoisko 80,,,Lublin,"Targi Lublin, ul. Dworcowa 11, 20-406 Lublin, Poland",,https://energetics.targi.lublin.pl/lista-wystawcow/
